,student name,age,average mark
0,name,age,points
1,name,age,points
394,Ronald Bordelon,30,6.95
1482,Kenneth Groover,30,2.12
1791,Betty Jones,30,2.95
1835,Marilyn Johnson,30,4.6
1856,Frances Devoe,30,3.8
1858,Russ Losada,30,4.43
1868,Randy Freeman,30,6.75
1875,Fern Hollenbeck,30,0.28
1896,Phillip Simpon,30,6.11
1911,Corinne Schenck,30,6.79
1919,Viola Eller,30,3.5
1931,Mark Hedges,30,5.66
1936,David Hartley,30,3.54
1950,Michelle Purington,30,0.61
1952,Nicholas Coviello,30,8.64
1991,Raymond Quiroga,30,4.26
2000,Charlotte Hall,30,6.08
2014,Paul Rosenblum,30,5.05
2021,Thomas Franks,30,7.25
1753,Charles Saylor,30,6.17
1749,Mary Fletcher,30,3.31
1715,Beth Portales,30,9.76
1597,James Alexander,30,2.11
1504,Edra Strapp,30,2.17
1513,Sharon Snyder,30,2.04
1540,Oliva Fiore,30,0.55
1552,Micheal Pavlick,30,0.18
1574,Mable Harpe,30,7.97
1585,Jessica Kelly,30,7.96
1590,Ronald Smith,30,2.48
1611,Bernice Blake,30,3.47
1706,Robert Knee,30,9.41
1620,Russell Gray,30,1.22
1651,Amy Corry,30,3.84
1678,Tam Coble,30,3.58
1680,Matthew Vong,30,2.31
1695,Thomas England,30,2.06
1696,Bernice Hewell,30,7.12
1704,John Bouchard,30,4.99
2055,Hilda Peterson,30,1.62
2057,Shelley Gold,30,6.4
2065,Ruth Sweeney,30,8.97
2423,Charles Strickland,30,9.18
2357,Steven Rector,30,6.13
2359,Edward Rhodes,30,1.44
2366,Marylou Sturgill,30,8.49
2378,Carl Anthony,30,0.48
2400,William Leyva,30,1.21
2411,Stephen Cremin,30,4.39
2421,Michael Mischler,30,6.74
2439,Joshua Lesher,30,7.53
2354,Christopher Pina,30,3.36
2443,Joseph Pritchard,30,8.2
2452,John Rosenthal,30,6.7
2457,Kathryn Sanders,30,1.79
2479,Scott Bravo,30,7.01
2483,Jan Hogan,30,1.35
2484,Ola Feldman,30,3.06
2491,Jon Oliver,30,2.32
2355,Sandra Tremblay,30,8.12
2347,Joshua Kitterman,30,6.32
2067,Christina Cason,30,0.59
2213,Tina Holland,30,3.05
2078,Paula Ewy,30,6.59
2106,Clyde Ammons,30,2.67
2117,Lisa Marroquin,30,8.03
2160,Doris Rossi,30,2.89
2162,Grant Gramham,30,4.82
2171,Ellen Watts,30,5.14
2194,Mary King,30,0.19
2222,Michael Mackson,30,3.37
2341,Ella Carroll,30,0.74
2238,Tina Gomez,30,0.12
2263,Tanya Mcgowan,30,8.14
2284,Sandra Yochum,30,9.56
2288,Kelly Kosinski,30,1.19
2299,Jean Gard,30,9.44
2318,Barbara Vincent,30,3.23
2327,Willard Billings,30,1.65
1486,Tiffany John,30,2.02
1479,Amy Burress,30,2.53
424,Deborah Richardson,30,7.04
342,Stephanie Petty,30,3.6
667,Jacob Schechter,30,1.22
748,Kevin Ramirez,30,0.97
758,Gilberto Hall,30,1.5
775,John Mount,30,8.18
791,Chris Burris,30,0.21
828,Angela Noble,30,2.09
864,Nancy Fox,30,7.39
876,Thomas Simon,30,1.12
899,Agnes Diaz,30,7.96
900,Ruth Gramham,30,2.28
912,Betty Turner,30,3.02
923,Jose Raisley,30,5.32
929,Megan Parke,30,3.96
938,Judi Rinks,30,7.73
947,Judy Jones,30,5.81
966,Ana Morton,30,6.6
1029,Barbara Mosholder,30,9.08
654,Amanda Schulte,30,1.08
651,Roger Golden,30,0.83
620,Laura Rodriguez,30,3.9
517,Brian Casillas,30,7.34
440,Vickie Ainslie,30,5.78
449,Jeremy Forsyth,30,6.76
464,Kirstin Cobian,30,2.2
481,Jose Pickhardt,30,4.58
500,Douglas Bernard,30,3.79
501,Mona Stengel,30,5.4
516,David Ward,30,8.42
546,Ruth Davis,30,2.45
616,Cory Bales,30,3.27
553,Luis Ingram,30,9.39
558,May Bowie,30,0.91
561,Edith Pinney,30,9.63
563,Denise Ogrady,30,7.0
587,Azucena Mehling,30,1.95
595,Fabian Bowers,30,2.69
601,Numbers Phillips,30,5.75
1055,Beverly Sowers,30,1.75
1056,Esther Leith,30,9.29
1065,Patricia Harris,30,8.62
1338,Ethel Oconnor,30,7.51
1267,Pamela Orenstein,30,3.84
1268,April Khan,30,1.27
1278,Lester Gordon,30,1.36
1285,James Abraham,30,3.85
1304,Robert Happenny,30,2.39
1317,Frances Mabe,30,7.04
1334,Opal Lackey,30,1.25
1376,Blair Herrington,30,9.62
1247,Constance Guerrero,30,0.79
1385,Jamie Scott,30,6.04
1389,Sandra Cutchall,30,7.56
1395,Patricia Willsey,30,6.34
1397,Jaime Brown,30,0.33
1402,Frances Wilburn,30,5.02
1429,James Lawary,30,9.43
1431,Lance Vance,30,2.29
1248,John Pirtle,30,8.07
1244,Charles Stewart,30,1.8
1066,Carl Sanchez,30,7.12
1140,Brenda Fitzgibbon,30,6.91
1067,Melissa Collazo,30,7.0
1084,Tameka Young,30,6.8
1090,Anthony Hatch,30,0.51
1097,Maria Victorine,30,1.63
1109,Nannette Daws,30,5.88
1110,Peggy Sanders,30,1.26
1136,Mary Palovick,30,6.19
1141,Donna Woodring,30,3.84
1236,Sally Allison,30,9.12
1147,Rachel Hinkel,30,5.17
1182,Joyce Gallagher,30,9.57
1190,Chanel Fisher,30,5.84
1196,Todd Wood,30,9.52
1213,Lawrence Yepes,30,8.24
1216,Leroy Fortman,30,1.04
1229,Antonio Serrano,30,6.68
1451,Julio Rojas,30,1.22
2518,Tammy Light,30,9.63
2554,Rudolph Wise,30,8.57
4367,Gladys Radcliff,30,9.1
4121,Toby Kirby,30,1.85
4124,Bernadine Silva,30,5.21
4125,Elvie Summers,30,9.14
4142,Theresa Tyrrell,30,7.14
4144,Robert Pike,30,8.27
4150,Alejandro Black,30,5.02
4155,Terry Lorenz,30,3.53
4177,Angela Alexander,30,2.86
4221,Geraldine Hull,30,4.19
4246,Susan Bryant,30,9.99
4251,Jacqueline Appleby,30,2.05
4266,Melinda Green,30,2.17
4269,Judith Moore,30,3.4
4275,Allan Tidwell,30,9.87
4294,Newton Sierra,30,6.21
4331,Phillip Smith,30,0.09
4345,Donna Townsend,30,3.9
4120,Gavin Mathias,30,4.32
4115,Paul Johnson,30,4.29
4114,Kenneth Wolfe,30,7.13
4024,Harry Nunez,30,6.71
3904,John Thomas,30,4.53
3920,Lee Howard,30,4.17
3921,Matthew Hancock,30,8.79
3927,Edward Simpson,30,8.12
3931,Matt Farrow,30,1.36
3955,Robert Hastie,30,9.98
4005,Franklin Harvey,30,2.44
4027,Mindy Leslie,30,6.88
4113,Lucy Callaway,30,3.68
4028,Donald Hess,30,5.71
4063,Adam Oshaughnessy,30,0.59
4076,John Hundley,30,1.68
4087,John Langeness,30,1.43
4091,Arlene Evans,30,2.92
4095,John Berry,30,1.68
4103,John Parks,30,5.36
4346,Timothy Mcdevitt,30,5.54
4376,Jeremy Hanson,30,2.41
2574,Felix Pierson,30,7.05
4433,Scott Rohr,30,0.9
4752,Donald Allen,30,1.36
4754,Mandi Haire,30,0.22
4762,Donald Eck,30,9.16
4766,John Orlowski,30,4.28
4792,Ethel Valdes,30,8.4
4794,Timothy Flores,30,6.3
4823,Anthony Pergola,30,1.59
4825,Esther Price,30,8.54
4839,Angelo Cortez,30,8.65
4840,Mary Royal,30,6.93
4841,Victoria Irby,30,7.97
4846,Wilson Danforth,30,2.65
4864,Michael Webber,30,2.62
4871,Cory Fay,30,5.24
4930,Chris Smith,30,0.95
4967,Barbara Jackson,30,2.02
4974,Corey Shumake,30,0.63
4739,Patricia Mueller,30,3.5
4709,Marjorie Ruiz,30,0.44
4685,Ben Reames,30,9.16
4538,Mavis Chavez,30,3.74
4434,Carol Smith,30,9.15
4456,Jesse Polster,30,2.61
4466,Chad Coney,30,7.98
4483,James Brown,30,5.56
4510,Albert French,30,5.75
4520,Jonathan Water,30,6.04
4530,Jorge Gonsalves,30,9.67
4546,Terri Basquez,30,6.47
4678,Lucile Buchner,30,0.42
4554,James Kobayashi,30,3.01
4558,Sylvia Nelson,30,9.42
4583,Anne Thompson,30,6.68
4584,Alan Mcfarling,30,8.88
4628,Heriberto Ward,30,9.65
4662,Daniel Postma,30,4.5
4672,Kelly Newman,30,5.28
3895,Claudia Love,30,0.5
3871,Louis Griffin,30,2.04
3842,Jose Gravitt,30,3.52
3840,Suzanne Kelley,30,7.98
2878,Raul Bond,30,6.57
2915,Carolyn Coleman,30,0.31
2930,Maia Weber,30,5.11
2949,Lee Brasfield,30,7.41
2958,Cynthia Eggleston,30,9.24
2975,Sandra Boldt,30,5.52
2978,Gary Barnett,30,7.59
2982,Lloyd Jackson,30,7.95
2984,Carl Franklin,30,4.79
3045,Gerald Hayes,30,5.08
3046,Elizabeth Tripp,30,1.25
3077,Kenneth Marrero,30,4.5
3079,Andrew Dunagan,30,3.65
3080,Mary Martin,30,8.69
3099,Leah Pickle,30,0.15
3108,Leticia Lang,30,6.68
3125,Bobby Powell,30,9.03
2832,Troy Heimbach,30,1.82
2827,Nicholas Collins,30,5.06
2819,Mimi Barnes,30,3.69
2725,Wm Peckenpaugh,30,9.79
2587,Carlos Martin,30,5.97
2589,Jadwiga Reynolds,30,9.26
2595,Catherine Williams,30,2.29
2643,Rigoberto Shoemaker,30,8.26
2646,Peter Braswell,30,8.44
2688,Rose Sanchez,30,3.57
2692,Leslie Torres,30,2.35
2738,Barbara Dombkowski,30,4.93
